Node	Time	ActivationUpPrice
39	10	70.5
39	11	65.0
39	12	58.74
39	13	63.0
39	14	63.0
39	15	55.0
39	16	52.78
39	17	54.86
39	18	66.0
39	19	66.0
39	20	64.0
39	21	55.94
39	22	55.97
39	23	56.02
39	24	55.31
40	1	59.0
40	2	59.0
40	3	61.0
40	4	61.0
40	5	61.0
40	6	59.34
40	7	103.19
40	8	169.73
40	9	232.44
40	10	197.18
40	11	166.09
40	12	155.15
40	13	105.24
40	14	129.55
40	15	102.98
40	16	105.24
40	17	104.28
40	18	90.32
40	19	85.99
40	20	65.81
40	21	72.56
40	22	74.7
40	23	86.52
40	24	58.74
41	1	88.9
41	2	85.84
41	3	84.54
41	4	79.83
41	5	79.57
41	6	83.75
41	7	86.74
41	8	110.07
41	9	136.63
41	10	125.03
41	11	110.01
41	12	103.29
41	13	100.0
41	14	100.0
41	15	102.69
41	16	114.3
41	17	133.09
41	18	145.44
41	19	137.0
41	20	146.0
41	21	135.0
41	22	103.76
41	23	95.0
41	24	96.5
42	1	32.0
42	2	29.0
42	3	24.41
42	4	26.54
42	5	25.41
42	6	27.36
42	7	29.15
42	8	30.25
42	9	31.83
42	10	32.88
42	11	35.19
42	12	35.61
42	13	33.77
42	14	33.49
42	15	33.64
42	16	34.98
42	17	37.04
42	18	36.52
42	19	34.35
42	20	32.0
42	21	35.0
42	22	35.0
42	23	33.5
42	24	32.0
43	1	61.84
43	2	60.0
43	3	60.0
43	4	60.0
43	5	55.93
43	6	64.13
43	7	86.06
43	8	117.0
43	9	134.23
43	10	162.35
43	11	159.25
43	12	162.09
43	13	151.5
43	14	160.92
43	15	168.91
43	16	183.47
43	17	187.78
43	18	162.76
43	19	140.11
43	20	130.0
43	21	130.0
43	22	88.3
43	23	84.5
43	24	80.0
44	1	7.62
44	2	7.77
44	3	5.85
44	4	5.63
44	5	5.77
44	6	5.42
44	7	4.94
44	8	4.67
44	9	7.04
44	10	22.46
44	11	22.1
44	12	24.34
44	13	24.33
44	14	25.96
44	15	29.9
44	16	32.55
44	17	38.41
44	18	44.01
44	19	43.1
44	20	37.52
44	21	34.9
44	22	32.18
44	23	31.57
44	24	27.4
45	1	100.0
45	2	100.0
45	3	96.0
45	4	92.0
45	5	92.0
45	6	92.0
45	7	92.0
45	8	90.0
45	9	85.0
45	10	90.0
45	11	102.0
45	12	102.0
45	13	100.0
45	14	100.0
45	15	100.0
45	16	100.0
45	17	100.0
45	18	201.11
45	19	260.0
45	20	179.0
45	21	114.0
45	22	114.0
45	23	114.0
45	24	113.0
46	1	46.0
46	2	46.0
46	3	36.39
46	4	36.15
46	5	35.9
46	6	45.0
46	7	45.0
46	8	45.0
46	9	42.0
46	10	46.0
46	11	46.0
46	12	46.0
46	13	45.0
46	14	43.0
46	15	43.5
46	16	43.0
46	17	44.0
46	18	46.0
46	19	46.0
46	20	43.0
46	21	41.0
46	22	42.0
46	23	43.0
46	24	43.0
47	1	57.92
47	2	56.39
47	3	54.28
47	4	51.78
47	5	50.88
47	6	51.99
47	7	52.83
47	8	55.97
47	9	56.97
47	10	68.5
47	11	75.5
47	12	77.0
47	13	77.5
47	14	77.5
47	15	70.0
47	16	70.0
47	17	68.04
47	18	76.07
47	19	92.5
47	20	92.5
47	21	92.5
47	22	79.0
47	23	85.0
47	24	80.5
48	1	38.0
48	2	33.56
48	3	32.03
48	4	32.29
48	5	36.7
48	6	41.72
48	7	49.18
48	8	62.04
48	9	65.67
48	10	73.0
48	11	84.5
48	12	85.0
48	13	90.16
48	14	90.87
48	15	82.0
48	16	88.0
48	17	88.0
48	18	88.08
48	19	80.11
48	20	66.77
48	21	70.0
48	22	70.0
48	23	72.5
48	24	69.0
49	1	74.5
49	2	74.5
49	3	68.0
49	4	65.5
49	5	65.0
49	6	70.0
49	7	150.0
49	8	150.0
49	9	104.419
49	10	94.0
49	11	87.0
49	12	87.0
49	13	164.0
49	14	164.0
49	15	77.5
49	16	77.5
49	17	77.0
49	18	108.0
49	19	200.0
49	20	200.0
49	21	100.0
49	22	75.0
49	23	63.75
49	24	59.94
50	1	88.83
50	2	83.09
50	3	80.0
50	4	80.17
50	5	82.49
50	6	88.14
50	7	109.79
50	8	165.01
50	9	299.01
50	10	249.12
50	11	255.86
50	12	211.511
50	13	203.28
50	14	196.98
50	15	197.86
50	16	299.94
50	17	449.64
50	18	526.25
50	19	349.95
50	20	181.91
50	21	149.6
50	22	112.82
50	23	100.1
50	24	92.87
51	1	80.0
51	2	70.5
51	3	70.0
51	4	66.06
51	5	66.74
51	6	67.34
51	7	69.41
51	8	73.36
51	9	76.74
51	10	90.0
51	11	92.0
51	12	88.08
51	13	80.39
51	14	77.04
51	15	79.15
51	16	82.32
51	17	90.5
51	18	97.0
51	19	96.0
51	20	85.26
51	21	79.06
51	22	78.41
51	23	80.0
51	24	74.0
52	1	17.4
52	2	11.35
52	3	10.33
52	4	5.17
52	5	25.0
52	6	52.23
52	7	58.99
52	8	61.07
52	9	63.75
52	10	62.93
52	11	61.76
52	12	61.22
52	13	60.91
52	14	61.33
52	15	63.62
52	16	64.64
52	17	66.29
52	18	68.46
52	19	66.78
52	20	63.34
52	21	63.34
52	22	58.04
52	23	59.0
52	24	47.0
53	1	29.35
53	2	29.96
53	3	30.01
53	4	30.44
53	5	31.94
53	6	35.08
53	7	41.71
53	8	41.5
53	9	38.69
53	10	38.09
53	11	34.98
53	12	34.96
53	13	33.59
53	14	32.71
53	15	39.0
53	16	44.94
53	17	47.0
53	18	47.0
53	19	48.0
53	20	45.0
53	21	45.0
53	22	42.5
53	23	33.09
53	24	19.57
54	1	25.25
54	2	25.01
54	3	24.11
54	4	27.0
54	5	34.99
54	6	48.0
54	7	72.0
54	8	70.0
54	9	40.0
54	10	26.55
54	11	7.04
54	12	1.59
54	13	1.01
54	14	23.0
54	15	26.81
54	16	33.0
54	17	43.0
54	18	48.0
54	19	48.0
54	20	48.0
54	21	48.0
54	22	48.0
54	23	48.0
54	24	42.0
55	1	52.04
55	2	47.53
55	3	42.29
55	4	36.69
55	5	42.0
55	6	47.0
55	7	47.0
55	8	49.0
55	9	47.0
55	10	47.0
55	11	47.16
55	12	50.81
55	13	49.26
55	14	49.08
55	15	49.31
55	16	52.0
55	17	60.0
55	18	60.0
55	19	60.0
55	20	63.0
55	21	63.0
55	22	64.0
55	23	64.0
55	24	63.5
56	1	60.0
56	2	60.0
56	3	60.0
56	4	55.0
56	5	50.44
56	6	50.28
56	7	49.3
56	8	52.0
56	9	42.0
56	10	23.93
56	11	20.0
56	12	10.4
56	13	10.35
56	14	14.52
56	15	23.96
56	16	29.28
56	17	42.0
56	18	52.0
56	19	65.0
56	20	67.5
56	21	65.0
56	22	48.01
56	23	40.28
56	24	31.22
57	1	61.0
57	2	61.0
57	3	55.5
57	4	55.5
57	5	57.0
57	6	65.0
57	7	69.0
57	8	73.777
57	9	73.0
57	10	62.85
57	11	61.9
57	12	60.44
57	13	58.9
57	14	58.92
